地点组,订单数,中位距离,配送P50,配送P90,配送P95,最短安全承诺,现状延迟率,承诺后延迟率,距离档,基准延迟率,该订单延迟率-该档位平均延迟率,延迟率是否不正常,超额延迟贡献
SPRJ,8021,382.86293618655907,12.0,31.0,40.0,37,14.250093504550554,5.984291235506794,200-500,6.470765824695582,7.779327679854972,不正常,62398.0
SPES,1436,760.4420770065099,13.0,25.0,31.0,30,12.325905292479108,5.153203342618385,500-1000,7.190984672366918,5.13492062011219,不正常,7374.0
SPBA,2265,1447.8227773571018,17.0,32.0,37.0,36,12.891832229580574,5.209713024282561,1000-2000,9.668364694874727,3.223467534705847,不正常,7301.0
SPSC,2299,544.394764689195,13.0,26.200000000000273,32.0,31,9.569377990430622,5.263157894736842,500-1000,7.190984672366918,2.3783933180637042,不正常,5468.0
PRRJ,948,839.5582385975663,14.0,33.0,42.0,39,12.341772151898734,5.80168776371308,500-1000,7.190984672366918,5.150787479531816,不正常,4883.0
SPMA,482,2236.3886807389813,19.0,34.0,41.94999999999999,39,18.87966804979253,5.601659751037345,2000+,12.134266738467062,6.74540131132547,不正常,3251.0
SPSP,30256,94.266469761874,6.0,14.0,18.0,17,4.6932839767318875,5.42702273929138,0-200,4.588438450785297,0.10484552594659036,正常,3172.0
SPMS,469,851.9237445006032,14.0,26.0,31.599999999999966,29,12.366737739872068,6.396588486140725,500-1000,7.190984672366918,5.17575306750515,不正常,2427.0
MGRJ,1113,342.4943152565173,11.0,24.0,33.399999999999864,31,8.355795148247978,6.109613656783468,200-500,6.470765824695582,1.8850293235523958,不正常,2098.0
RJSP,1299,369.321618551704,9.0,21.0,26.0,25,7.929176289453426,5.465742879137799,200-500,6.470765824695582,1.4584104647578435,不正常,1894.0
SPCE,957,2316.5397035753167,18.0,34.0,44.0,40,13.897596656217345,6.0606060606060606,2000+,12.134266738467062,1.7633299177502835,不正常,1688.0
SPPI,324,2078.441412984881,16.0,32.0,39.849999999999966,36,16.666666666666664,6.481481481481481,2000+,12.134266738467062,4.532399928199602,不正常,1468.0
SCRJ,463,747.2636587348748,13.0,27.80000000000001,36.0,33,9.287257019438446,6.047516198704104,500-1000,7.190984672366918,2.096272347071528,不正常,971.0
SPGO,1386,795.9424668617535,14.0,25.0,30.0,28,7.6479076479076475,5.916305916305916,500-1000,7.190984672366918,0.4569229755407296,正常,633.0
