customer_state,品类,件数,件均价
TO,beleza_saude,36,133.31
TO,relogios_presentes,29,169.69
TO,esporte_lazer,25,205.77
TO,telefonia,21,60.39
TO,informatica_acessorios,20,207.36
TO,moveis_decoracao,17,117.42
TO,automotivo,16,151.18
TO,cool_stuff,16,214.34
TO,brinquedos,13,143.4
TO,ferramentas_jardim,13,92.79
TO,perfumaria,13,138.84
TO,utilidades_domesticas,13,71.24
TO,cama_mesa_banho,10,101.08
TO,fashion_bolsas_e_acessorios,8,41.42
TO,bebes,7,311.38
TO,eletronicos,7,21.18
TO,moveis_escritorio,6,204.42
TO,consoles_games,4,82.18
TO,pet_shop,4,83.08
TO,未分类,4,108.25
TO,eletrodomesticos_2,3,338.99
TO,papelaria,3,92.27
TO,construcao_ferramentas_iluminacao,2,137.0
TO,livros_tecnicos,2,102.3
TO,malas_acessorios,2,174.9
TO,moveis_sala,2,123.1
TO,telefonia_fixa,2,695.5
TO,audio,1,175.0
TO,casa_conforto,1,599.0
TO,casa_construcao,1,79.9
TO,eletrodomesticos,1,143.75
TO,fashion_calcados,1,199.7
TO,industria_comercio_e_negocios,1,69.0
TO,instrumentos_musicais,1,36.9
TO,livros_interesse_geral,1,32.9
TO,market_place,1,62.8
TO,moveis_cozinha_area_de_servico_jantar_e_jardim,1,129.0
TO,pcs,1,1200.0
TO,portateis_casa_forno_e_cafe,1,1999.0
SP,cama_mesa_banho,5157,91.57
SP,beleza_saude,4125,110.04
SP,esporte_lazer,3576,104.88
SP,moveis_decoracao,3454,80.47
SP,utilidades_domesticas,3184,84.69
SP,informatica_acessorios,3099,110.05
SP,relogios_presentes,2234,188.7
SP,automotivo,1716,122.0
SP,brinquedos,1674,107.58
SP,telefonia,1612,61.43
SP,ferramentas_jardim,1532,96.7
SP,perfumaria,1444,112.48
SP,cool_stuff,1339,155.79
SP,bebes,1230,122.77
SP,papelaria,1044,83.97
SP,eletronicos,994,51.88
SP,pet_shop,889,99.53
SP,fashion_bolsas_e_acessorios,841,66.71
SP,moveis_escritorio,655,162.91
SP,未分类,624,100.77
SP,consoles_games,472,126.02
SP,malas_acessorios,451,125.67
SP,construcao_ferramentas_construcao,422,141.14
SP,eletrodomesticos,341,98.56
SP,eletroportateis,296,231.1
SP,alimentos,283,54.03
SP,casa_construcao,264,125.59
SP,instrumentos_musicais,260,260.1
SP,livros_interesse_geral,224,85.71
SP,bebidas,205,43.31
SP,casa_conforto,201,134.08
SP,moveis_sala,200,112.92
SP,audio,144,121.66
SP,construcao_ferramentas_iluminacao,141,126.91
SP,moveis_cozinha_area_de_servico_jantar_e_jardim,137,170.52
SP,climatizacao,136,164.4
SP,alimentos_bebidas,129,48.62
SP,industria_comercio_e_negocios,128,144.69
SP,market_place,115,84.94
SP,livros_tecnicos,111,64.59
SP,telefonia_fixa,111,117.03
SP,construcao_ferramentas_jardim,96,77.59
SP,agro_industria_e_comercio,94,275.15
SP,sinalizacao_e_seguranca,94,83.99
SP,artes,91,160.58
SP,fashion_calcados,89,75.15
SP,eletrodomesticos_2,87,371.09
SP,construcao_ferramentas_seguranca,64,220.29
SP,pcs,59,1050.73
SP,fashion_roupa_masculina,54,77.69
SP,fashion_underwear_e_moda_praia,53,66.43
SP,moveis_quarto,52,191.27
SP,artigos_de_natal,50,42.88
SP,livros_importados,36,67.76
SP,construcao_ferramentas_ferramentas,33,205.64
SP,portateis_casa_forno_e_cafe,33,493.5
SP,tablets_impressao_imagem,32,76.56
SP,cine_foto,30,64.8
SP,fraldas_higiene,30,35.3
SP,fashion_roupa_feminina,26,51.35
SP,dvds_blu_ray,21,135.85
SP,moveis_colchao_e_estofado,21,97.1
SP,artigos_de_festas,17,92.11
SP,artes_e_artesanato,16,56.64
SP,casa_conforto_2,14,32.63
SP,fashion_esporte,12,78.32
SP,musica,12,174.44
SP,flores,11,39.88
SP,portateis_cozinha_e_preparadores_de_alimentos,8,92.04
SP,cds_dvds_musicais,6,58.33
SP,la_cuisine,6,121.5
SP,fashion_roupa_infanto_juvenil,4,69.99
SP,pc_gamer,3,189.33
SE,beleza_saude,38,220.96
SE,informatica_acessorios,36,112.58
SE,esporte_lazer,33,91.74
SE,ferramentas_jardim,27,122.91
SE,telefonia,27,86.33
SE,moveis_decoracao,25,169.26
SE,automotivo,20,110.5
SE,relogios_presentes,20,144.8
SE,eletronicos,18,60.22
SE,cool_stuff,17,334.51
SE,cama_mesa_banho,15,120.81
SE,brinquedos,11,100.03
SE,utilidades_domesticas,10,126.75
SE,bebes,8,180.94
SE,fashion_bolsas_e_acessorios,8,58.31
SE,perfumaria,7,124.1
SE,consoles_games,6,288.67
SE,casa_construcao,3,294.98
SE,eletroportateis,3,495.57
SE,industria_comercio_e_negocios,3,84.0
SE,instrumentos_musicais,3,571.6
SE,malas_acessorios,3,96.57
SE,market_place,3,177.93
SE,moveis_escritorio,3,168.98
