customer_state,件数,订单数,件均价,每单件数,平均评分,差评率
SP,46448,40501,109.1,1.15,4.18,12.4
RJ,14143,12350,124.42,1.15,3.87,20.81
MG,12916,11354,120.2,1.14,4.12,13.59
RS,6134,5345,118.83,1.15,4.09,14.33
PR,5649,4923,117.91,1.15,4.15,13.37
SC,4097,3546,123.75,1.16,4.05,15.26
BA,3683,3256,134.02,1.13,3.86,18.83
DF,2355,2080,125.9,1.13,4.06,15.06
GO,2277,1957,124.21,1.16,4.04,14.72
ES,2225,1995,120.74,1.12,4.01,15.45
PE,1746,1593,144.27,1.1,4.02,16.44
CE,1426,1279,154.11,1.11,3.87,19.31
PA,1054,946,165.53,1.11,3.84,19.63
MT,1037,886,146.76,1.17,4.01,15.98
MS,811,701,142.33,1.16,4.06,16.07
MA,800,717,146.26,1.12,3.76,21.91
PB,586,517,192.13,1.13,4.04,16.03
PI,523,476,161.99,1.1,3.96,16.8
RN,521,474,157.59,1.1,4.11,14.29
AL,427,397,184.67,1.08,3.83,21.7
SE,375,335,150.86,1.12,3.9,19.57
TO,310,274,156.14,1.13,4.16,11.97
RO,273,243,167.34,1.12,4.07,15.07
AM,163,145,135.93,1.12,4.11,17.28
AC,91,80,175.07,1.14,4.13,15.38
AP,81,67,165.12,1.21,4.26,6.25
RR,46,41,153.42,1.12,3.89,15.22
