品类,销量,订单数,差评率,延迟率,延迟组差评率,准时组差评率,延迟贡献,延迟贡献占比,超额差评件数,延迟率差(对平台)
cama_mesa_banho,10831,9177,18.08,6.89,65.15,14.6,3.48,19.3,377.0,0.41
beleza_saude,9402,8601,12.45,7.38,62.68,8.45,4.0,32.1,376.0,0.9
esporte_lazer,8377,7485,13.02,6.24,64.63,9.59,3.44,26.4,288.0,-0.23
moveis_decoracao,8080,6260,17.97,6.92,60.11,14.84,3.13,17.4,253.0,0.44
informatica_acessorios,7607,6498,16.98,6.36,61.16,13.98,3.0,17.7,228.0,-0.11
utilidades_domesticas,6756,5709,14.18,4.9,62.24,11.7,2.48,17.5,167.0,-1.58
relogios_presentes,5813,5452,14.81,7.07,63.5,11.11,3.7,25.0,215.0,0.59
telefonia,4404,4069,15.53,6.9,57.89,12.39,3.14,20.2,138.0,0.43
ferramentas_jardim,4240,3428,14.93,6.46,63.87,11.55,3.38,22.6,143.0,-0.01
automotivo,4098,3791,13.84,6.98,59.79,10.39,3.45,24.9,141.0,0.5
brinquedos,3998,3773,12.16,6.13,67.35,8.55,3.6,29.6,144.0,-0.35
cool_stuff,3689,3531,11.85,5.75,63.21,8.71,3.13,26.4,116.0,-0.73
perfumaria,3329,3076,13.07,6.46,65.12,9.47,3.59,27.5,120.0,-0.02
bebes,2959,2787,14.94,7.54,67.26,10.67,4.26,28.6,126.0,1.06
eletronicos,2710,2498,14.83,7.56,61.46,11.02,3.82,25.7,103.0,1.09
papelaria,2451,2251,11.59,6.73,63.64,7.83,3.76,32.4,92.0,0.26
fashion_bolsas_e_acessorios,1975,1811,11.34,5.27,63.46,8.44,2.9,25.5,57.0,-1.21
pet_shop,1915,1680,12.06,4.86,59.14,9.66,2.4,19.9,46.0,-1.62
moveis_escritorio,1654,1244,25.45,7.92,62.6,22.26,3.19,12.6,53.0,1.44
未分类,1525,1382,19.41,7.48,70.18,15.31,4.1,21.1,63.0,1.0
consoles_games,1079,1009,12.14,5.56,61.67,9.22,2.92,24.0,31.0,-0.92
malas_acessorios,1073,1015,8.67,4.1,61.36,6.41,2.25,26.0,24.0,-2.38
construcao_ferramentas_construcao,911,731,14.05,6.15,67.86,10.53,3.52,25.1,32.0,-0.33
eletrodomesticos,751,744,10.65,4.53,58.82,8.37,2.28,21.4,17.0,-1.95
eletroportateis,653,604,12.25,4.44,44.83,10.74,1.51,12.4,10.0,-2.04
instrumentos_musicais,645,605,11.94,7.44,70.83,7.2,4.74,39.7,31.0,0.97
casa_construcao,592,481,17.4,5.91,60.0,14.72,2.68,15.4,16.0,-0.56
livros_interesse_geral,532,491,6.77,6.02,43.75,4.4,2.37,35.0,13.0,-0.46
