品类中文,品类,销量,差评率,延迟率,延迟组差评率,准时组差评率,延迟贡献,延迟贡献占比,超额差评件数
床品家纺,cama_mesa_banho,10831,18.08,6.89,65.15,14.6,3.48,19.3,377.0
美妆健康,beleza_saude,9402,12.45,7.38,62.68,8.45,4.0,32.1,376.0
运动休闲,esporte_lazer,8377,13.02,6.24,64.63,9.59,3.44,26.4,288.0
家具装饰,moveis_decoracao,8080,17.97,6.92,60.11,14.84,3.13,17.4,253.0
电脑配件,informatica_acessorios,7607,16.98,6.36,61.16,13.98,3.0,17.7,228.0
日用,utilidades_domesticas,6756,14.18,4.9,62.24,11.7,2.48,17.5,167.0
钟表礼品,relogios_presentes,5813,14.81,7.07,63.5,11.11,3.7,25.0,215.0
手机通讯,telefonia,4404,15.53,6.9,57.89,12.39,3.14,20.2,138.0
工具园艺,ferramentas_jardim,4240,14.93,6.46,63.87,11.55,3.38,22.6,143.0
汽车用品,automotivo,4098,13.84,6.98,59.79,10.39,3.45,24.9,141.0
玩具,brinquedos,3998,12.16,6.13,67.35,8.55,3.6,29.6,144.0
酷玩,cool_stuff,3689,11.85,5.75,63.21,8.71,3.13,26.4,116.0
香氛,perfumaria,3329,13.07,6.46,65.12,9.47,3.59,27.5,120.0
婴童,bebes,2959,14.94,7.54,67.26,10.67,4.26,28.6,126.0
电子,eletronicos,2710,14.83,7.56,61.46,11.02,3.82,25.7,103.0
文具,papelaria,2451,11.59,6.73,63.64,7.83,3.76,32.4,92.0
箱包配件,fashion_bolsas_e_acessorios,1975,11.34,5.27,63.46,8.44,2.9,25.5,57.0
宠物用品,pet_shop,1915,12.06,4.86,59.14,9.66,2.4,19.9,46.0
办公家具,moveis_escritorio,1654,25.45,7.92,62.6,22.26,3.19,12.6,53.0
未分类,未分类,1525,19.41,7.48,70.18,15.31,4.1,21.1,63.0
游戏机,consoles_games,1079,12.14,5.56,61.67,9.22,2.92,24.0,31.0
行李箱,malas_acessorios,1073,8.67,4.1,61.36,6.41,2.25,26.0,24.0
construcao_ferramentas_construcao,construcao_ferramentas_construcao,911,14.05,6.15,67.86,10.53,3.52,25.1,32.0
eletrodomesticos,eletrodomesticos,751,10.65,4.53,58.82,8.37,2.28,21.4,17.0
eletroportateis,eletroportateis,653,12.25,4.44,44.83,10.74,1.51,12.4,10.0
instrumentos_musicais,instrumentos_musicais,645,11.94,7.44,70.83,7.2,4.74,39.7,31.0
casa_construcao,casa_construcao,592,17.4,5.91,60.0,14.72,2.68,15.4,16.0
livros_interesse_geral,livros_interesse_geral,532,6.77,6.02,43.75,4.4,2.37,35.0,13.0
