品类,销量,订单数,件均价,平均评分,差评率,每单件数
cama_mesa_banho,10831,9177,93.58,3.92,18.08,1.18
beleza_saude,9402,8601,130.26,4.19,12.45,1.09
esporte_lazer,8378,7486,113.27,4.17,13.02,1.12
moveis_decoracao,8080,6260,87.38,3.95,17.97,1.29
informatica_acessorios,7608,6499,116.29,3.99,17.0,1.17
utilidades_domesticas,6756,5709,90.53,4.11,14.18,1.18
relogios_presentes,5815,5454,199.35,4.07,14.81,1.07
telefonia,4404,4069,69.89,3.99,15.53,1.08
ferramentas_jardim,4240,3428,110.21,4.08,14.93,1.24
automotivo,4099,3792,139.41,4.12,13.83,1.08
brinquedos,3999,3774,116.69,4.21,12.15,1.06
cool_stuff,3689,3531,163.52,4.19,11.85,1.04
perfumaria,3329,3076,116.74,4.22,13.07,1.08
bebes,2959,2787,134.27,4.08,14.94,1.06
eletronicos,2710,2498,55.74,4.07,14.83,1.08
papelaria,2451,2251,90.83,4.25,11.59,1.09
fashion_bolsas_e_acessorios,1975,1811,75.21,4.19,11.34,1.09
pet_shop,1915,1680,110.04,4.22,12.06,1.14
moveis_escritorio,1654,1244,160.38,3.51,25.45,1.33
未分类,1525,1382,111.25,3.94,19.41,1.1
consoles_games,1079,1009,135.3,4.14,12.14,1.07
malas_acessorios,1073,1015,128.72,4.35,8.67,1.06
construcao_ferramentas_construcao,911,731,154.11,4.09,14.05,1.25
eletrodomesticos,751,744,104.67,4.22,10.65,1.01
eletroportateis,653,604,277.61,4.23,12.25,1.08
instrumentos_musicais,645,605,281.66,4.22,11.94,1.07
casa_construcao,592,481,137.09,3.96,17.4,1.23
livros_interesse_geral,533,492,84.48,4.51,6.75,1.08
moveis_sala,490,409,135.04,3.93,17.14,1.2
alimentos,487,437,58.18,4.26,11.7,1.11
casa_conforto,427,390,134.03,3.85,19.67,1.09
bebidas,361,287,59.64,4.12,12.47,1.26
audio,358,345,140.48,3.84,21.51,1.04
market_place,303,272,91.52,4.07,12.87,1.11
construcao_ferramentas_iluminacao,292,239,134.0,4.08,13.7,1.22
climatizacao,284,242,185.31,4.05,15.49,1.17
moveis_cozinha_area_de_servico_jantar_e_jardim,272,239,166.47,4.03,13.6,1.14
alimentos_bebidas,269,221,55.55,4.37,6.69,1.22
livros_tecnicos,262,255,71.23,4.39,10.31,1.03
industria_comercio_e_negocios,262,230,146.23,4.13,12.98,1.14
fashion_calcados,253,231,89.34,4.29,10.67,1.1
telefonia_fixa,252,209,217.12,3.76,23.02,1.21
construcao_ferramentas_jardim,232,190,108.17,4.12,15.52,1.22
eletrodomesticos_2,230,226,468.45,4.16,12.17,1.02
agro_industria_e_comercio,206,177,342.55,4.09,13.59,1.16
pcs,196,174,1071.02,4.22,11.73,1.13
sinalizacao_e_seguranca,196,137,108.16,4.09,11.73,1.43
artes,195,193,120.47,4.08,14.36,1.01
construcao_ferramentas_seguranca,182,158,212.88,3.97,17.58,1.15
artigos_de_natal,143,123,56.13,4.07,13.29,1.16
fashion_underwear_e_moda_praia,126,116,73.46,4.05,15.87,1.09
fashion_roupa_masculina,124,105,82.72,3.76,25.0,1.18
moveis_quarto,103,90,184.97,4.25,12.62,1.14
construcao_ferramentas_ferramentas,99,94,159.34,4.44,8.08,1.05
tablets_impressao_imagem,81,77,80.35,4.12,13.58,1.05
portateis_casa_forno_e_cafe,73,72,638.21,4.44,6.85,1.01
cine_foto,70,63,95.35,4.29,12.86,1.11
dvds_blu_ray,61,56,74.47,4.18,14.75,1.09
livros_importados,57,50,77.52,4.51,8.77,1.14
fashion_roupa_feminina,45,36,58.55,3.93,13.33,1.25
artigos_de_festas,42,38,106.31,3.83,21.43,1.11
musica,38,38,158.8,4.21,10.53,1.0
moveis_colchao_e_estofado,37,37,116.85,3.89,18.92,1.0
fraldas_higiene,37,25,40.56,3.38,21.62,1.48
flores,31,28,32.27,4.42,6.45,1.11
fashion_esporte,29,26,72.22,4.34,6.9,1.12
casa_conforto_2,27,23,26.72,3.63,25.93,1.17
artes_e_artesanato,24,23,75.58,4.12,12.5,1.04
portateis_cozinha_e_preparadores_de_alimentos,14,13,280.97,3.43,28.57,1.08
cds_dvds_musicais,14,12,52.14,4.64,0.0,1.17
la_cuisine,13,12,147.54,4.0,23.08,1.08
pc_gamer,8,7,163.37,3.62,25.0,1.14
fashion_roupa_infanto_juvenil,7,7,74.28,5.0,0.0,1.0
seguros_e_servicos,2,2,141.64,2.5,50.0,1.0
