序列,月份,件数
平台总体,2016-10,313
平台总体,2016-12,1
平台总体,2017-01,913
平台总体,2017-02,1858
平台总体,2017-03,2897
平台总体,2017-04,2569
平台总体,2017-05,4004
平台总体,2017-06,3489
平台总体,2017-07,4416
平台总体,2017-08,4797
平台总体,2017-09,4737
平台总体,2017-10,5214
平台总体,2017-11,8475
平台总体,2017-12,6187
平台总体,2018-01,8037
平台总体,2018-02,7518
平台总体,2018-03,8017
平台总体,2018-04,7827
平台总体,2018-05,7810
平台总体,2018-06,7010
平台总体,2018-07,6963
平台总体,2018-08,7142
cama_mesa_banho,2016-10,8
cama_mesa_banho,2016-11,0
cama_mesa_banho,2016-12,0
cama_mesa_banho,2017-01,46
cama_mesa_banho,2017-02,157
cama_mesa_banho,2017-03,279
cama_mesa_banho,2017-04,271
cama_mesa_banho,2017-05,361
cama_mesa_banho,2017-06,369
cama_mesa_banho,2017-07,569
cama_mesa_banho,2017-08,506
cama_mesa_banho,2017-09,528
cama_mesa_banho,2017-10,542
cama_mesa_banho,2017-11,961
cama_mesa_banho,2017-12,546
cama_mesa_banho,2018-01,836
cama_mesa_banho,2018-02,685
cama_mesa_banho,2018-03,777
cama_mesa_banho,2018-04,736
cama_mesa_banho,2018-05,740
cama_mesa_banho,2018-06,764
cama_mesa_banho,2018-07,617
cama_mesa_banho,2018-08,655
beleza_saude,2016-10,40
beleza_saude,2016-11,0
beleza_saude,2016-12,0
beleza_saude,2017-01,82
beleza_saude,2017-02,154
beleza_saude,2017-03,208
beleza_saude,2017-04,180
beleza_saude,2017-05,284
beleza_saude,2017-06,254
beleza_saude,2017-07,308
beleza_saude,2017-08,352
beleza_saude,2017-09,376
beleza_saude,2017-10,350
beleza_saude,2017-11,573
beleza_saude,2017-12,460
beleza_saude,2018-01,619
beleza_saude,2018-02,650
beleza_saude,2018-03,656
beleza_saude,2018-04,685
beleza_saude,2018-05,751
beleza_saude,2018-06,875
beleza_saude,2018-07,770
beleza_saude,2018-08,835
esporte_lazer,2016-10,17
esporte_lazer,2016-11,0
esporte_lazer,2016-12,0
esporte_lazer,2017-01,74
esporte_lazer,2017-02,149
esporte_lazer,2017-03,190
esporte_lazer,2017-04,203
esporte_lazer,2017-05,305
esporte_lazer,2017-06,269
esporte_lazer,2017-07,375
esporte_lazer,2017-08,417
esporte_lazer,2017-09,453
esporte_lazer,2017-10,462
esporte_lazer,2017-11,597
esporte_lazer,2017-12,484
esporte_lazer,2018-01,642
esporte_lazer,2018-02,637
esporte_lazer,2018-03,732
esporte_lazer,2018-04,586
esporte_lazer,2018-05,489
esporte_lazer,2018-06,419
esporte_lazer,2018-07,460
esporte_lazer,2018-08,471
moveis_decoracao,2016-10,65
moveis_decoracao,2016-11,0
moveis_decoracao,2016-12,0
moveis_decoracao,2017-01,177
moveis_decoracao,2017-02,257
moveis_decoracao,2017-03,315
moveis_decoracao,2017-04,191
moveis_decoracao,2017-05,271
moveis_decoracao,2017-06,230
moveis_decoracao,2017-07,314
moveis_decoracao,2017-08,426
moveis_decoracao,2017-09,343
moveis_decoracao,2017-10,375
moveis_decoracao,2017-11,767
moveis_decoracao,2017-12,378
moveis_decoracao,2018-01,595
moveis_decoracao,2018-02,422
moveis_decoracao,2018-03,583
moveis_decoracao,2018-04,586
moveis_decoracao,2018-05,597
moveis_decoracao,2018-06,402
moveis_decoracao,2018-07,436
moveis_decoracao,2018-08,430
informatica_acessorios,2016-10,12
informatica_acessorios,2016-11,0
informatica_acessorios,2016-12,0
informatica_acessorios,2017-01,31
informatica_acessorios,2017-02,100
informatica_acessorios,2017-03,171
informatica_acessorios,2017-04,132
informatica_acessorios,2017-05,309
informatica_acessorios,2017-06,254
informatica_acessorios,2017-07,320
informatica_acessorios,2017-08,341
informatica_acessorios,2017-09,247
informatica_acessorios,2017-10,309
informatica_acessorios,2017-11,512
informatica_acessorios,2017-12,284
informatica_acessorios,2018-01,688
informatica_acessorios,2018-02,971
informatica_acessorios,2018-03,750
informatica_acessorios,2018-04,526
informatica_acessorios,2018-05,453
informatica_acessorios,2018-06,401
informatica_acessorios,2018-07,418
informatica_acessorios,2018-08,415
utilidades_domesticas,2016-10,12
utilidades_domesticas,2016-11,0
utilidades_domesticas,2016-12,0
utilidades_domesticas,2017-01,28
utilidades_domesticas,2017-02,69
utilidades_domesticas,2017-03,196
utilidades_domesticas,2017-04,169
utilidades_domesticas,2017-05,302
utilidades_domesticas,2017-06,321
utilidades_domesticas,2017-07,271
utilidades_domesticas,2017-08,280
utilidades_domesticas,2017-09,249
utilidades_domesticas,2017-10,229
utilidades_domesticas,2017-11,412
utilidades_domesticas,2017-12,288
utilidades_domesticas,2018-01,351
utilidades_domesticas,2018-02,391
utilidades_domesticas,2018-03,390
utilidades_domesticas,2018-04,462
utilidades_domesticas,2018-05,618
utilidades_domesticas,2018-06,577
utilidades_domesticas,2018-07,564
utilidades_domesticas,2018-08,616
relogios_presentes,2016-10,4
relogios_presentes,2016-11,0
relogios_presentes,2016-12,0
relogios_presentes,2017-01,11
relogios_presentes,2017-02,33
relogios_presentes,2017-03,79
relogios_presentes,2017-04,95
relogios_presentes,2017-05,129
relogios_presentes,2017-06,119
relogios_presentes,2017-07,162
relogios_presentes,2017-08,211
relogios_presentes,2017-09,264
relogios_presentes,2017-10,308
relogios_presentes,2017-11,463
relogios_presentes,2017-12,353
relogios_presentes,2018-01,355
relogios_presentes,2018-02,324
relogios_presentes,2018-03,421
relogios_presentes,2018-04,494
relogios_presentes,2018-05,625
relogios_presentes,2018-06,477
relogios_presentes,2018-07,521
relogios_presentes,2018-08,411
telefonia,2016-10,8
telefonia,2016-11,0
telefonia,2016-12,0
telefonia,2017-01,22
telefonia,2017-02,106
telefonia,2017-03,165
telefonia,2017-04,142
telefonia,2017-05,214
telefonia,2017-06,157
telefonia,2017-07,143
telefonia,2017-08,132
telefonia,2017-09,173
telefonia,2017-10,244
telefonia,2017-11,371
telefonia,2017-12,260
telefonia,2018-01,368
telefonia,2018-02,354
telefonia,2018-03,334
telefonia,2018-04,279
telefonia,2018-05,250
telefonia,2018-06,216
telefonia,2018-07,221
telefonia,2018-08,271
